Source title,CiteScore,Highest percentile,2021-24 Citations,2021-24 Documents,% Cited,SNIP,SJR,Publisher
Materials Horizons,15.9,"96.0%
38/970
Electrical and Electronic Engineering",25462.0,1597.0,79.0,1.679,2.885,Royal Society of Chemistry
Physical Review Letters,15.6,"94.0%
15/246
General Physics and Astronomy",141008.0,9064.0,88.0,2.412,2.856,American Physical Society
Small Methods,15.5,"92.0%
31/404
General Chemistry",25729.0,1662.0,89.0,1.411,2.638,John Wiley & Sons
Acta Materialia,15.4,"95.0%
9/175
Metals and Alloys",48330.0,3140.0,88.0,2.545,2.972,Acta Materialia Inc
Laser and Photonics Reviews,15.1,"96.0%
18/443
Condensed Matter Physics",21824.0,1441.0,89.0,2.413,2.679,John Wiley & Sons
Nano Letters,14.9,"97.0%
22/720
Mechanical Engineering",90646.0,6095.0,83.0,1.676,2.967,American Chemical Society
Journal of Power Sources,14.9,"95.0%
44/970
Electrical and Electronic Engineering",79593.0,5333.0,87.0,1.482,1.784,Elsevier
Materials and Design,14.9,"96.0%
23/720
Mechanical Engineering",61684.0,4150.0,88.0,1.847,1.727,Elsevier
ACS Applied Materials and Interfaces,14.5,"91.0%
41/460
General Materials Science",321695.0,22250.0,85.0,1.264,1.921,American Chemical Society
Science China Chemistry,13.8,"91.0%
36/404
General Chemistry",16749.0,1217.0,85.0,1.252,2.377,Science China Press
Photonics Research,13.5,"92.0%
17/232
Atomic and Molecular Physics, and Optics",15811.0,1169.0,85.0,1.952,1.994,Optica Publishing Group (formerly OSA)
Applied Surface Science,13.4,"94.0%
23/443
Condensed Matter Physics",159550.0,11895.0,92.0,1.193,1.31,Elsevier
Journal of Energy Storage,13.3,"94.0%
50/970
Electrical and Electronic Engineering",150797.0,11360.0,85.0,1.85,1.76,Elsevier
International Journal of Hydrogen Energy,13.3,"94.0%
24/443
Condensed Matter Physics",211562.0,15946.0,86.0,1.777,1.685,Elsevier
Materials Chemistry Frontiers,13.2,"91.0%
28/324
Materials Chemistry",21876.0,1654.0,90.0,0.954,1.444,Royal Society of Chemistry
ChemSusChem,13.1,"93.0%
18/274
General Chemical Engineering",26170.0,1998.0,89.0,1.162,1.845,John Wiley & Sons
Alexandria Engineering Journal,12.9,"96.0%
12/344
General Engineering",46441.0,3595.0,86.0,1.932,1.037,Elsevier
Advanced Optical Materials,12.7,"92.0%
19/232
Atomic and Molecular Physics, and Optics",49786.0,3908.0,87.0,1.496,1.995,John Wiley & Sons
Chemical Science,12.6,"90.0%
40/404
General Chemistry",78708.0,6237.0,83.0,1.464,2.138,Royal Society of Chemistry
Solar Energy,12.6,"88.0%
52/460
General Materials Science",40908.0,3247.0,89.0,1.545,1.314,Elsevier
ACS Sustainable Chemistry and Engineering,12.5,"93.0%
19/274
General Chemical Engineering",81747.0,6527.0,87.0,1.254,1.623,American Chemical Society
